Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS,percent
NVIDIA Tesla V100S PCIe 32 GB,GPU,2019-11-26,12.0,250.0,815.0,21100.0,1245.0,TSMC,NVIDIA,32710.0,16350.000000000002,8177.0
NVIDIA GeForce MX450 25W,GPU,2020-08-15,12.0,25.0,200.0,4700.0,720.0,TSMC,NVIDIA,3333.0,1667.0,52.08
NVIDIA GeForce GTX 470 PhysX Edition,GPU,,,215.0,529.0,3100.0,608.0,TSMC,NVIDIA,,1089.0,
AMD Radeon Pro Vega II,GPU,2019-06-03,7.0,475.0,331.0,13230.0,1574.0,TSMC,AMD,28180.0,14090.0,880.6
NVIDIA GeForce 6800,GPU,2004-04-14,110.0,,287.0,222.0,325.0,TSMC,NVIDIA,,,
NVIDIA Tesla P40,GPU,2016-09-13,16.0,250.0,471.0,11800.0,1303.0,TSMC,NVIDIA,183.7,11760.0,367.4
AMD Radeon E8870,GPU,2015-09-29,28.0,75.0,160.0,2080.0,1000.0,TSMC,AMD,,1536.0,96.0
NVIDIA GeForce MX150,GPU,2017-05-17,14.0,25.0,74.0,1800.0,1469.0,Samsung,NVIDIA,18.38,1177.0,36.77
ATI All-In-Wonder 9800 PRO,GPU,2003-06-16,150.0,,215.0,117.0,378.0,TSMC,ATI,,,
NVIDIA Quadro FX 1400,GPU,2004-08-09,130.0,55.0,225.0,222.0,350.0,TSMC,NVIDIA,,,
ATI Radeon HD 2950 XTX,GPU,,55.0,110.0,192.0,666.0,777.0,TSMC,ATI,,497.3,99.46
AMD Radeon Pro 5300,GPU,2020-08-04,7.0,85.0,158.0,6400.0,1000.0,TSMC,AMD,8448.0,4224.0,264.0
ATI Radeon HD 2600 PRO,GPU,2007-06-28,65.0,35.0,153.0,390.0,600.0,TSMC,ATI,,144.0,
NVIDIA A10 PCIe,GPU,2021-04-12,8.0,150.0,628.0,28300.0,885.0,Samsung,NVIDIA,31240.0,31240.0,976.3
ATI Radeon DDR VIVO SE,GPU,2001-08-14,180.0,,115.0,30.0,187.0,TSMC,ATI,,,
NVIDIA GeForce GTX 470 X2,GPU,,40.0,215.0,529.0,3100.0,608.0,TSMC,NVIDIA,,855.4,
NVIDIA Quadro 2000,GPU,2010-12-24,40.0,62.0,238.0,1170.0,625.0,TSMC,NVIDIA,,480.0,40.0
NVIDIA GRID K560Q,GPU,2014-07-02,28.0,225.0,294.0,3540.0,745.0,TSMC,NVIDIA,,2289.0,95.36
3dfx Spectre 2000,GPU,,,30.0,131.0,30.0,200.0,TSMC,Other,,,
NVIDIA GeForce GTS 250,GPU,2009-03-04,55.0,150.0,260.0,754.0,675.0,TSMC,NVIDIA,,414.7,
ATI Radeon X850 XT,GPU,2004-12-01,130.0,69.0,297.0,160.0,520.0,TSMC,ATI,,,
NVIDIA Quadro 4000M,GPU,2011-02-22,40.0,100.0,332.0,1950.0,475.0,TSMC,NVIDIA,,638.4,53.2
NVIDIA GRID M60-8Q,GPU,2015-08-30,28.0,225.0,398.0,5200.0,557.0,TSMC,NVIDIA,,4825.0,150.8
NVIDIA GeForce4 MX 440-8x,GPU,2002-09-25,150.0,,65.0,29.0,275.0,TSMC,NVIDIA,,,
NVIDIA Quadro P3200 Mobile,GPU,2018-02-21,16.0,75.0,314.0,7200.0,1328.0,TSMC,NVIDIA,86.41,5530.0,172.8
NVIDIA GeForce 9700M GTS,GPU,2008-07-29,65.0,60.0,240.0,505.0,530.0,TSMC,NVIDIA,,127.2,
ATI All-In-Wonder 9200 SE,GPU,2004-01-26,150.0,,98.0,36.0,250.0,UMC,ATI,,,
NVIDIA GeForce PCX 4300,GPU,2004-02-19,150.0,,65.0,29.0,250.0,TSMC,NVIDIA,,,
ATI Mobility Radeon HD 2600 XT,GPU,2007-05-14,65.0,,153.0,390.0,680.0,TSMC,ATI,,163.2,
NVIDIA GeForce GTX 760M,GPU,2013-05-30,28.0,55.0,221.0,2540.0,628.0,TSMC,NVIDIA,,1009.0,42.05
ATI Mobility Radeon HD 5450,GPU,2010-01-07,40.0,11.0,59.0,292.0,650.0,TSMC,ATI,,104.0,
NVIDIA GeForce 6600 GT AGP,GPU,2004-11-14,110.0,47.0,154.0,146.0,500.0,TSMC,NVIDIA,,,
AMD Radeon HD 8790M,GPU,2013-04-01,28.0,,77.0,950.0,850.0,TSMC,AMD,,691.2,43.2
NVIDIA GeForce GT 120 OEM,GPU,2009-03-10,55.0,50.0,121.0,314.0,738.0,TSMC,NVIDIA,,117.5,
AMD Radeon R7 340 OEM,GPU,2015-05-05,28.0,50.0,77.0,950.0,730.0,TSMC,AMD,,599.0,37.44
ATI Radeon X1950 PRO,GPU,2006-10-01,80.0,66.0,230.0,330.0,575.0,TSMC,ATI,,,
Intel HD Graphics 620,GPU,2016-08-30,14.0,15.0,,,300.0,Intel,Intel,768.0,384.0,96.0
AMD Radeon RX 580 OEM,GPU,2016-06-29,14.0,150.0,232.0,5700.0,1120.0,GF,AMD,5834.0,5834.0,364.6
XGI Volari Duo V5 Ultra,GPU,2003-09-15,130.0,,,90.0,350.0,UMC,Other,,,
AMD Radeon 550X Mobile,GPU,2018-04-11,14.0,50.0,103.0,2200.0,1100.0,GF,AMD,1647.0,1647.0,103.0
NVIDIA GeForce GT 630M,GPU,2012-03-22,40.0,33.0,116.0,585.0,660.0,TSMC,NVIDIA,,253.4,21.12
ATI Mobility Radeon 9200,GPU,2003-03-01,150.0,,81.0,36.0,250.0,UMC,ATI,,,
ATI FireGL X3-256,GPU,2004-08-03,130.0,57.0,281.0,160.0,491.0,TSMC,ATI,,,
NVIDIA Quadro FX 1500M,GPU,2006-04-18,90.0,45.0,196.0,278.0,375.0,TSMC,NVIDIA,,,
NVIDIA GeForce 9200,GPU,2007-04-17,80.0,40.0,127.0,210.0,500.0,Unknown,NVIDIA,,38.4,
NVIDIA Quadro FX 4600 SDI,GPU,2007-03-05,90.0,154.0,484.0,681.0,500.0,TSMC,NVIDIA,,230.4,
NVIDIA Quadro T1000 Mobile,GPU,2019-05-27,12.0,50.0,200.0,4700.0,1395.0,TSMC,NVIDIA,5215.0,2607.0,81.48
NVIDIA Playstation 3 GPU 90nm,GPU,2006-11-11,90.0,80.0,258.0,300.0,550.0,Sony,NVIDIA,,,
3dfx Voodoo4-2 4800 AGP,GPU,,180.0,15.0,112.0,14.0,166.0,TSMC,Other,,,
AMD Radeon RX 570,GPU,2017-04-18,14.0,150.0,232.0,5700.0,1168.0,GF,AMD,5095.0,5095.0,318.5
ATI Radeon 9700 PRO,GPU,2002-07-01,150.0,,215.0,110.0,325.0,TSMC,ATI,,,
NVIDIA Tesla K40s,GPU,2013-11-22,28.0,245.0,561.0,7080.0,745.0,TSMC,NVIDIA,,5046.0,1682.0
NVIDIA GeForce GTX 1050 Ti Mobile,GPU,2017-02-01,16.0,75.0,200.0,4400.0,1493.0,TSMC,NVIDIA,38.88,2488.0,77.76
AMD Radeon HD 6310 IGP,GPU,2010-11-09,40.0,18.0,75.0,450.0,488.0,TSMC,AMD,,78.08,
ATI Mobility Radeon HD 4570,GPU,2009-01-09,55.0,,73.0,242.0,680.0,TSMC,ATI,,108.8,
NVIDIA Quadro2 MXR Low Profile,GPU,2000-07-25,180.0,,64.0,20.0,200.0,TSMC,NVIDIA,,,
AMD Radeon R7 250 OEM,GPU,2013-10-08,28.0,65.0,77.0,950.0,1000.0,TSMC,AMD,,806.4,50.4
ATI Radeon X1650 AGP,GPU,2007-02-01,90.0,,150.0,157.0,500.0,TSMC,ATI,,,
NVIDIA Quadro RTX 4000 Max-Q,GPU,2019-05-27,12.0,80.0,545.0,13600.0,780.0,TSMC,NVIDIA,14130.0,7066.0,220.8
NVIDIA GeForce4 MX 440-SE,GPU,2002-02-06,150.0,,65.0,29.0,250.0,TSMC,NVIDIA,,,
NVIDIA GeForce 9600 GSO,GPU,2008-04-28,65.0,84.0,324.0,754.0,550.0,TSMC,NVIDIA,,264.0,
NVIDIA GeForce4 Ti 4800,GPU,2003-03-15,150.0,,101.0,36.0,300.0,TSMC,NVIDIA,,,
NVIDIA GeForce GTX 560 SE,GPU,2012-02-20,40.0,150.0,332.0,1950.0,736.0,TSMC,NVIDIA,,847.9,70.66
NVIDIA Quadro FX Go1000,GPU,2004-02-25,130.0,,133.0,82.0,295.0,TSMC,NVIDIA,,,
AMD Radeon R7 240,GPU,2013-10-08,28.0,30.0,77.0,950.0,730.0,TSMC,AMD,,499.2,
Sony Playstation 2 GPU 180nm,GPU,2001-04-18,180.0,79.0,188.0,54.0,147.0,Sony,Other,,,
NVIDIA GeForce FX 5500,GPU,2004-03-17,150.0,,91.0,45.0,270.0,TSMC,NVIDIA,,,
NVIDIA GeForce GT 1030 GK107,GPU,2018-09-30,28.0,65.0,118.0,1270.0,1058.0,TSMC,NVIDIA,,812.5,33.86
Intel HD Graphics 520,GPU,2015-09-01,14.0,15.0,123.0,,300.0,Intel,Intel,691.2,345.6,86.4
AMD Radeon HD 7510M,GPU,2012-01-07,40.0,11.0,104.0,716.0,450.0,TSMC,AMD,,360.0,
AMD Radeon R6 Mobile Graphics,GPU,2015-11-07,28.0,15.0,125.0,1200.0,200.0,GF,AMD,553.0,553.0,276.5
NVIDIA Quadro RTX 3000 Max-Q,GPU,2019-05-27,12.0,60.0,445.0,10800.0,600.0,TSMC,NVIDIA,9331.0,4666.0,145.8
ATI Mobility Radeon HD 5850,GPU,2010-01-07,40.0,30.0,166.0,1040.0,500.0,TSMC,ATI,,800.0,
NVIDIA GeForce GTX 1060 6 GB GDDR5X,GPU,2018-10-18,16.0,120.0,314.0,7200.0,1506.0,TSMC,NVIDIA,68.36,4375.0,136.7
Intel Iris Pro Graphics 5200,GPU,2013-06-03,22.0,45.0,,,200.0,Intel,Intel,,736.0,184.0
NVIDIA GeForce GTX 950M Mac Edition,GPU,2015-03-13,28.0,75.0,148.0,1870.0,993.0,TSMC,NVIDIA,,1439.0,44.96
AMD Radeon HD 6990,GPU,2011-03-08,40.0,375.0,389.0,2640.0,830.0,TSMC,AMD,,2550.0,637.4
NVIDIA GeForce GT 740M,GPU,2013-04-01,28.0,45.0,118.0,1270.0,810.0,TSMC,NVIDIA,,622.1,25.92
ATI Radeon X300 SE HyperMemory,GPU,2006-10-25,110.0,30.0,74.0,107.0,325.0,TSMC,ATI,,,
NVIDIA GeForce 6600 VE,GPU,2005-01-01,110.0,,154.0,146.0,300.0,TSMC,NVIDIA,,,
