name,m_0,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,m_10,m_11,m_12,m_13,m_14,m_15,m_16,m_17,m_18,m_19,m_20,m_21,m_22,m_23,m_24,m_25,m_26,m_27,m_28,m_29,m_30,m_31,m_32,m_33,m_34,m_35,m_36,m_37,m_38,m_39,m_40,m_41,m_42,m_43,m_44,m_45,m_46,m_47,m_48,m_49,m_50,m_51,m_52,m_53,m_54,m_55,m_56,m_57,m_58,m_59,m_60,m_61,m_62,m_63,m_64,m_65,m_66,m_67,m_68,m_69,m_70,m_71,m_72,m_73,m_74,m_75,m_76,m_77,m_78,m_79
NVIDIA GeForce RTX 3070,2.11,1.94,2.13,2.02,2.32,2.33,2.76,2.44,2.67,2.91,5.43,2.95,2.99,3.26,3.2,3.62,3.23,3.34,3.13,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce RTX 2070 SUPER,1.98,1.84,2.0,1.75,1.78,1.68,1.73,1.58,1.53,1.55,1.74,1.45,1.39,1.43,1.41,1.4,1.35,1.36,1.31,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce RTX 3060 Ti,1.54,1.55,1.7,1.72,2.0,2.1,2.53,2.27,2.68,2.92,5.06,3.13,3.42,3.43,3.53,4.04,3.54,3.51,3.44,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce GTX 1660,2.06,1.81,1.78,1.84,1.74,1.95,2.74,1.51,1.36,1.44,2.55,1.41,3.3,1.26,1.18,1.45,1.07,1.08,1.0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce RTX 3080,1.27,1.27,1.51,1.44,1.7,1.69,1.82,1.84,1.89,1.97,2.62,1.94,2.02,2.22,2.25,2.16,2.21,2.24,2.17,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMD Radeon RX 580,1.41,1.39,1.49,1.33,1.28,1.19,1.08,1.2,1.17,1.1,0.75,1.11,1.04,1.07,1.03,0.95,1.01,0.97,0.96,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce GTX 1080,1.46,1.34,1.46,1.29,1.28,1.19,1.18,1.14,1.06,1.04,0.98,0.98,0.94,1.0,0.97,0.91,0.92,0.9,0.88,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce RTX 2070,1.55,1.35,1.39,1.32,1.3,1.27,1.5,1.14,1.09,1.15,2.1,1.08,1.0,1.07,1.04,1.18,0.98,1.01,0.93,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce RTX 3050,0.89,1.13,1.16,1.34,1.62,1.94,1.83,2.26,2.42,2.61,1.97,2.71,2.66,2.46,2.63,2.59,2.75,2.62,2.79,2.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMD Radeon Graphics,1.65,1.51,1.43,1.6,1.68,1.74,1.63,1.93,2.05,1.98,1.23,1.99,2.01,2.08,2.03,1.88,2.07,2.17,2.19,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
